"'Calanus finmarchicus'"	"'Centropages typicus'"	"'Temora longicornis'"	"'Metridia lucens'"	"'Centropages hamatus'"	"'Paraeuchaeta norvegica'"	"'Harpacticoida '"	"'Oithona '"	"'Metridia'"	"'Calanus'"	"'Acartia '"	"'Clausocalanus'"	"'Paracalanus'"	"'Paracalanus or Pseudocalanus '"	"'Pseudocalanus'"
33	1507	0	201	0	0	0	0	0	0	0	0	0	3013	1507
33	9040	0	201	0	0	0	0	0	0	1507	0	0	9040	1507
201	25613	1507	569	0	0	0	3013	0	0	0	0	0	9040	1507
67	9040	0	67	0	0	1507	3013	0	0	0	0	0	9040	0
0	9040	0	0	0	0	0	0	0	0	0	0	0	9040	0
201	4520	0	0	0	0	0	0	0	0	0	0	0	4520	0
0	1507	0	0	0	0	0	1507	0	0	0	0	0	9040	1507
0	0	3013	0	0	0	0	0	0	0	0	0	0	1507	0
0	0	0	0	0	0	0	0	0	0	0	0	0	3013	0
67	1507	1507	0	0	0	0	0	0	0	0	0	0	4520	0
1172	0	1507	569	0	0	0	3013	9040	52732	0	0	0	112997	25613
1172	3013	0	0	0	0	0	9040	1507	25613	0	0	0	52732	9040
201	0	1507	0	0	0	0	9040	0	112997	0	0	0	52732	52732
0	0	0	0	0	0	0	3013	0	52732	0	0	0	9040	3013
100	0	0	0	0	0	0	4520	0	9040	0	0	0	4520	3013
0	1507	0	0	0	0	0	0	0	9040	4520	0	0	9040	4520
0	25613	0	0	0	0	0	1507	0	9040	9040	0	0	9040	3013
0	25613	0	0	0	0	0	9040	0	9040	9040	0	0	3013	0
201	0	0	0	0	0	0	0	0	0	0	0	0	25613	9040
33	0	0	0	1507	0	0	1507	0	0	0	0	0	52732	25613
33	3013	1507	0	0	0	0	4520	0	0	0	0	0	9040	3013
201	9040	0	33	0	0	0	25613	0	1507	1507	0	0	9040	4520
201	1507	0	0	0	0	0	4520	0	3013	0	0	0	0	0
0	9040	0	0	0	0	0	9040	0	0	1507	0	0	1507	0
0	0	0	0	0	0	0	3013	0	0	0	0	0	0	0
0	9040	0	0	0	0	0	0	0	0	0	0	0	0	0
0	4520	0	0	0	0	0	1507	0	0	1507	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1507	0	0	9040	1507
0	4520	0	0	0	0	0	0	0	0	0	0	0	25613	9040
201	9040	1507	0	0	0	0	9040	0	1507	1507	0	0	9040	4520
0	9040	0	0	0	0	0	4520	0	1507	0	0	0	4520	1507
0	9040	0	0	0	0	0	0	0	0	0	0	0	9040	0
0	9040	0	0	0	0	0	9040	0	0	0	0	0	9040	0
33	25613	0	67	0	0	0	9040	0	9040	0	0	0	0	0
201	9040	0	1172	0	0	1507	9040	0	3013	0	0	0	25613	3013
0	3013	0	201	0	0	0	0	0	0	0	0	0	0	0
33	25613	0	2511	0	0	1507	25613	3013	0	0	0	0	0	0
201	1507	0	5356	0	0	0	4520	0	4520	1507	0	0	9040	1507
0	4520	0	0	0	0	0	0	0	0	0	0	0	25613	25613
0	1507	0	0	0	0	0	0	0	0	0	0	0	9040	1507
0	25613	1507	0	0	0	0	0	0	4520	0	0	0	25613	9040
569	25613	0	0	0	0	0	1507	0	4520	0	0	0	25613	3013
569	9040	0	0	0	0	0	0	0	3013	0	0	0	3013	0
33	9040	0	0	0	0	0	0	0	0	0	0	0	3013	0
569	9040	0	0	0	1507	0	0	0	0	0	0	0	9040	0
0	4520	0	0	0	0	0	4520	0	3013	3013	0	0	9040	0
201	9040	0	0	0	0	0	3013	0	0	0	0	0	9040	0
569	0	0	33	0	0	0	1507	0	9040	0	0	0	1507	0
1172	0	1507	0	0	0	0	3013	0	52732	0	0	0	9040	1507
569	0	1507	0	0	0	0	3013	0	52732	0	0	0	9040	1507
569	0	1507	0	0	0	0	9040	0	52732	0	0	0	3013	1507
0	0	0	0	0	0	0	1507	0	9040	0	0	0	4520	3013
0	0	0	0	0	0	0	3013	0	25613	0	0	0	0	0
